#Organism_name,taxonomy_ID,Supergroup_group,Phylum,Class,Mitochondria_type,Plastid_type
Plestiodon tunganus,463550,Opisthokonta_Metazoa,Chordata,Lepidosauria,Aerobic_mitochondria,None
Bupleurum latissimum,266284,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Ciboria shiraiana,984309,Opisthokonta_Fungi,Ascomycota,Leotiomycetes,Aerobic_mitochondria,None 
Catopuma badia,61454,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Fragaria nipponica,101012,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Culex camposi,1461356,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Epinephelus chlorostigma,306578,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Cordyceps confragosa,1105325,Opisthokonta_Fungi,Ascomycota,Sordariomycetes,Aerobic_mitochondria,None 
Colletotrichum coccodes,27358,Opisthokonta_Fungi,Ascomycota,Sordariomycetes,Aerobic_mitochondria,None 
Nageia nagi,36012,Archaeplastida_Viridiplantae,Streptophyta,Pinopsida,Aerobic_mitochondria,Primary_green_plastid 
Siren lacertina,307977,Opisthokonta_Metazoa,Chordata,Amphibia,Aerobic_mitochondria,None
Verticillium tricorpus,29847,Opisthokonta_Fungi,Ascomycota,Sordariomycetes,Undescribed,None 
Phraortes sp. Iriomote Island,590991,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Utricularia gibba,13748,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Oryza minuta,63629,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Littledalea racemosa,2051922,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Lonchura hunsteini,2025574,Opisthokonta_Metazoa,Chordata,Aves,Aerobic_mitochondria,None
Ogataea zsoltii,169510,Opisthokonta_Fungi,Ascomycota,Saccharomycetes,Aerobic_mitochondria,None 
Oratosquilla oratoria,337810,Opisthokonta_Metazoa,Arthropoda,Malacostraca,Aerobic_mitochondria,None
Basipetospora chlamydospora,89487,Opisthokonta_Fungi,Ascomycota,Eurotiomycetes,Aerobic_mitochondria,None 
Taxodium distichum,28982,Archaeplastida_Viridiplantae,Streptophyta,Pinopsida,Aerobic_mitochondria,Primary_green_plastid 
Sitophilus zeamais,7047,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Bactrocera oleae,104688,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Campodea augens,438502,Opisthokonta_Metazoa,Arthropoda,Diplura,Aerobic_mitochondria,None
Lasiacis nigra,416047,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Anaerobic_mitochondria,Primary_green_plastid 
Mycosphaerella populi pn0402,1367537,Opisthokonta_Fungi,Ascomycota,Dothideomycetes,Aerobic_mitochondria,None 
Ornithoptera richmondia,2064775,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Aspergillus olivimuriae,2184023,Opisthokonta_Fungi,Ascomycota,Eurotiomycetes,Aerobic_mitochondria,None 
Lasiodiplodia sp. COLG96,2596969,Opisthokonta_Fungi,Ascomycota,Dothideomycetes,Aerobic_mitochondria,None 
Caenorhabditis remanei,31234,Opisthokonta_Metazoa,Nematoda,Chromadorea,Aerobic_mitochondria,None
Cymbidium mannii,1324860,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Piptochaetium avenaceum,399655,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Synchytrium endobioticum,286115,Opisthokonta_Fungi,Chytridiomycota,Chytridiomycetes,Aerobic_mitochondria,None 
Barbarea vulgaris,50459,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Gentiana apiata,2709848,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Rhipicentor nuttalli,72856,Opisthokonta_Metazoa,Arthropoda,Arachnida,Aerobic_mitochondria,None
Eriachne aristidea,798302,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Lentinula edodes 135A,1323751,Opisthokonta_Fungi,Basidiomycota,Agaricomycetes,Aerobic_mitochondria,None 
Accipiter trivirgatus,210844,Opisthokonta_Metazoa,Chordata,Aves,Aerobic_mitochondria,None
Juglans cinerea,91214,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Ladislavia taczanowskii,564176,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Amolops ricketti,110104,Opisthokonta_Metazoa,Chordata,Amphibia,Aerobic_mitochondria,None
Tomocerus minor,187706,Opisthokonta_Metazoa,Arthropoda,Collembola,Aerobic_mitochondria,None
Phytophthora megakarya,4795,SAR_Stramenopiles,Stramenopiles,Oomycota,Aerobic_mitochondria,None
Genetta servalina,205596,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Streptogyna americana,38708,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Xenopus parafraseri,288534,Opisthokonta_Metazoa,Chordata,Amphibia,Aerobic_mitochondria,None
Piofontia rupestris,72925,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Achlya hypogyna,1202772,SAR_Stramenopiles,Stramenopiles,Oomycota,Aerobic_mitochondria,None
Echium plantagineum,113446,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Cecropia pachystachya,1472306,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Valeriana officinalis,19953,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Ceraceosorus guamensis,1522189,Opisthokonta_Fungi,Basidiomycota,Exobasidiomycetes,Undescribed,None 
Cyprinus carpio wuyuanensis x Carassius auratus,1045278,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Kluyveromyces lactis,28985,Opisthokonta_Fungi,Ascomycota,Saccharomycetes,Aerobic_mitochondria,None 
Clematis alternata,231641,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Undescribed,Primary_green_plastid 
Forestiera isabelae,2057969,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Indonemoura jacobsoni,2605905,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Ophisurus macrorhynchos,118157,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Sarcophaga formosensis,321203,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Anopheles atroparvus,41427,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Mortierella elongata AG-77,1314771,Opisthokonta_Fungi,Mucoromycota,Mortierellomycetes,Aerobic_mitochondria,None 
Hymenoscyphus occultus,1640341,Opisthokonta_Fungi,Ascomycota,Leotiomycetes,Aerobic_mitochondria,None 
Ariomma indicum,1649244,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Burmeistera ceratocarpa,434368,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Tuberculitermes bycanistes,377997,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Darevskia parvula,122336,Opisthokonta_Metazoa,Chordata,Lepidosauria,Aerobic_mitochondria,None
Halocaridina rubra,373956,Opisthokonta_Metazoa,Arthropoda,Malacostraca,Aerobic_mitochondria,None
Boulengerula boulengeri,260983,Opisthokonta_Metazoa,Chordata,Amphibia,Aerobic_mitochondria,None
Berkeleyomyces basicola,124036,Opisthokonta_Fungi,Ascomycota,Sordariomycetes,Aerobic_mitochondria,None 
Oncocephalus breviscutum,1347735,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Heliconius elevatus bari,1756245,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Acer truncatum,47965,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Acropyga pallida,602221,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Erythranthe lutea,270988,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Populus davidiana,266767,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Dreissena polymorpha,45954,Opisthokonta_Metazoa,Mollusca,Bivalvia,Aerobic_mitochondria,None
Lepidocampa weberi,165470,Opisthokonta_Metazoa,Arthropoda,Diplura,Aerobic_mitochondria,None
Zebrias zebrinus,1302775,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Pertusaria propinqua,2283411,Opisthokonta_Fungi,Ascomycota,Lecanoromycetes,Aerobic_mitochondria,None 
Takifugu exascurus,277992,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Ceratocystis platani,88771,Opisthokonta_Fungi,Ascomycota,Sordariomycetes,Aerobic_mitochondria,None 
Hexamermis agrotis,387665,Opisthokonta_Metazoa,Nematoda,Enoplea,Aerobic_mitochondria,None
Diplodia sapinea CMW 190,1400760,Opisthokonta_Fungi,Ascomycota,Dothideomycetes,Undescribed,None 
Deschampsia cespitosa,37723,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Hortaea thailandica,706561,Opisthokonta_Fungi,Ascomycota,Dothideomycetes,Aerobic_mitochondria,None 
Leishmania adleri,5674,Discoba,Euglenozoa,Kinetoplastea,Aerobic_mitochondria,None
Hylobitelus xiaoi,1247388,Opisthokonta_Metazoa,Arthropoda,Insecta,Anaerobic_mitochondria,None
Acer miaotaiense,948960,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Alcelaphus buselaphus,59517,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Cistanthe longiscapa,339208,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Ideopsis similis,228300,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Oesophagostomum quadrispinulatum,61181,Opisthokonta_Metazoa,Nematoda,Chromadorea,Aerobic_mitochondria,None
Porphyridium purpureum,35688,Archaeplastida_Rhodophyta,Rhodophyta,Bangiophyceae,Anaerobic_mitochondria,Primary_red_plastid
Stagonosporopsis tanaceti,1200839,Opisthokonta_Fungi,Ascomycota,Dothideomycetes,Aerobic_mitochondria,None 
Kwoniella mangroviensis CBS 8886,1296123,Opisthokonta_Fungi,Basidiomycota,Tremellomycetes,Aerobic_mitochondria,None 
Emberiza jankowskii,504299,Opisthokonta_Metazoa,Chordata,Aves,Aerobic_mitochondria,None
Endarachne binghamiae,698476,SAR_Stramenopiles,Stramenopiles,Phaeophyceae,Aerobic_mitochondria,Secondary_red_plastid
Orthotrichum stellatum,522327,Archaeplastida_Viridiplantae,Streptophyta,Bryopsida,Aerobic_mitochondria,Primary_green_plastid 
Xenotoca eiseni,28762,Opisthokonta_Metazoa,Chordata,Actinopteri,Anaerobic_mitochondria,None
Fusarium sp. AF-8,1325734,Opisthokonta_Fungi,Ascomycota,Sordariomycetes,Aerobic_mitochondria,None 
Trichophyton interdigitale H6,1215336,Opisthokonta_Fungi,Ascomycota,Eurotiomycetes,Aerobic_mitochondria,None 
Viviparus chui,2023714,Opisthokonta_Metazoa,Mollusca,Gastropoda,Aerobic_mitochondria,None
Populus tremula x Populus alba,80863,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Yarrowia lipolytica CLIB122,284591,Opisthokonta_Fungi,Ascomycota,Saccharomycetes,Aerobic_mitochondria,None 
Ara militaris,57237,Opisthokonta_Metazoa,Chordata,Aves,Aerobic_mitochondria,None
Pyrrhura frontalis,211511,Opisthokonta_Metazoa,Chordata,Aves,Aerobic_mitochondria,None
Sardinella lemuru,392307,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Leontopodium leiolepis,1582844,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Xiphias gladius,8245,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Gloeochaete wittrockiana,38269,Archaeplastida_Glaucophyta,Glaucophyta,Glaucocystophyceae,Anaerobic_mitochondria,Primary_blue-green_plastid
Endotrypanum monterogeii,5705,Discoba,Euglenozoa,Kinetoplastea,Aerobic_mitochondria,None
Hoya pottsii,945170,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Perilla frutescens,48386,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Glonium stellatum,574774,Opisthokonta_Fungi,Ascomycota,Dothideomycetes,Aerobic_mitochondria,None 
Cambaroides japonicus,119070,Opisthokonta_Metazoa,Arthropoda,Malacostraca,Aerobic_mitochondria,None
Clithon retropictum,2094009,Opisthokonta_Metazoa,Mollusca,Gastropoda,Aerobic_mitochondria,None
Gerres filamentosus,274467,Opisthokonta_Metazoa,Chordata,Actinopteri,Anaerobic_mitochondria,None
Sabanejewia radnensis,111307,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Oreoglanis jingdongensis,1677761,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Eualetes tulipa,765164,Opisthokonta_Metazoa,Mollusca,Gastropoda,Aerobic_mitochondria,None
Imperata cylindrica,80369,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Taxus florinii,1982072,Archaeplastida_Viridiplantae,Streptophyta,Pinopsida,Aerobic_mitochondria,Primary_green_plastid 
Aspergillus novofumigatus IBT 16806,1392255,Opisthokonta_Fungi,Ascomycota,Eurotiomycetes,Aerobic_mitochondria,None 
Baikalospongia intermedia profundalis,882799,Opisthokonta_Metazoa,Porifera,Demospongiae,Aerobic_mitochondria,None
Cryptochiton stelleri,6655,Opisthokonta_Metazoa,Mollusca,Polyplacophora,Aerobic_mitochondria,None
Schimmelmannia schousboei,173468,Archaeplastida_Rhodophyta,Rhodophyta,Florideophyceae,Mitosome,Primary_red_plastid
Diploderma flaviceps,52218,Opisthokonta_Metazoa,Chordata,Lepidosauria,Aerobic_mitochondria,None
Vitis aestivalis,3605,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Anomaloglossus blanci,2175114,Opisthokonta_Metazoa,Chordata,Amphibia,Aerobic_mitochondria,None
Penicillium oxalicum,69781,Opisthokonta_Fungi,Ascomycota,Eurotiomycetes,Aerobic_mitochondria,None 
Morchella conica CCBAS932,1392247,Opisthokonta_Fungi,Ascomycota,Pezizomycetes,Aerobic_mitochondria,None 
Panonychus ulmi,50024,Opisthokonta_Metazoa,Arthropoda,Arachnida,Aerobic_mitochondria,None
Platichthys stellatus,195632,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Pseudogymnoascus sp. VKM F-4513 (FW-928),1420907,Opisthokonta_Fungi,Ascomycota,Leotiomycetes,Aerobic_mitochondria,None 
Agapanthus coddii,2033002,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Coregonus oxyrinchus,348708,Opisthokonta_Metazoa,Chordata,Actinopteri,Undescribed,None
Cyclemys pulchristriata,378291,Opisthokonta_Metazoa,Chordata,Reptilia,Aerobic_mitochondria,None
Neanthes glandicincta,595970,Opisthokonta_Metazoa,Annelida,Polychaeta,Aerobic_mitochondria,None
Stewartia calcicola,184083,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Populus koreana,1085088,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Medicago cretacea,66812,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Brugia pahangi,6280,Opisthokonta_Metazoa,Nematoda,Chromadorea,Aerobic_mitochondria,None
Coccidioides immitis H538.4,396776,Opisthokonta_Fungi,Ascomycota,Eurotiomycetes,Aerobic_mitochondria,None 
Selaginella pennata,1715390,Archaeplastida_Viridiplantae,Streptophyta,Lycopodiopsida,Aerobic_mitochondria,Primary_green_plastid 
Cryptococcus neoformans var. grubii Bt1,1230073,Opisthokonta_Fungi,Basidiomycota,Tremellomycetes,Aerobic_mitochondria,None 
Barbonymus schwanefeldii,1906136,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Schizopygopsis younghusbandi,263521,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Hycleus phaleratus,1248972,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Prunus mongolica,1501231,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Xanthorrhoea preissii,470286,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Beesia calthifolia,78478,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Anaerobic_mitochondria,Primary_green_plastid 
Panulirus cygnus,150421,Opisthokonta_Metazoa,Arthropoda,Malacostraca,Aerobic_mitochondria,None
Cladonia subtenuis,195789,Opisthokonta_Fungi,Ascomycota,Lecanoromycetes,Aerobic_mitochondria,None 
Silene aprica,54820,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Muscina levida,559660,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Sebastes steindachneri,201708,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Mesabolivar sp. ITV1036I2,2508675,Opisthokonta_Metazoa,Arthropoda,Arachnida,Aerobic_mitochondria,None
Syrmaticus humiae,9064,Opisthokonta_Metazoa,Chordata,Aves,Aerobic_mitochondria,None
Pleurotus citrinopileatus,98342,Opisthokonta_Fungi,Basidiomycota,Agaricomycetes,Aerobic_mitochondria,None 
Greenwayodendron suaveolens,235734,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Sebastes inermis,160818,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Notropis heterolepis,210129,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Fusarium floridanum,1325733,Opisthokonta_Fungi,Ascomycota,Sordariomycetes,Aerobic_mitochondria,None 
Trichosporon coremiiforme,82509,Opisthokonta_Fungi,Basidiomycota,Tremellomycetes,Aerobic_mitochondria,None 
Tsuga diversifolia,85622,Archaeplastida_Viridiplantae,Streptophyta,Pinopsida,Aerobic_mitochondria,Primary_green_plastid 
Leopoldamys edwardsi,83756,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Maconellicoccus hirsutus,177089,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Hyaloscypha bicolor E,1095630,Opisthokonta_Fungi,Ascomycota,Leotiomycetes,Aerobic_mitochondria,None 
Garra spilota,516014,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Leptobotia elongata,143403,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Prosopocoilus confucius,618424,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Pugionium cornutum,557876,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Zebrias crossolepis,366939,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Rhipicephalus microplus,6941,Opisthokonta_Metazoa,Arthropoda,Arachnida,Aerobic_mitochondria,None
Helianthus decapetalus,73283,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Cladonia peziziformis,184108,Opisthokonta_Fungi,Ascomycota,Lecanoromycetes,Aerobic_mitochondria,None 
Etrumeus teres,224716,Opisthokonta_Metazoa,Chordata,Actinopteri,Undescribed,None
Lagocephalus lagocephalus,546522,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Pacifigorgia cairnsi,1458677,Opisthokonta_Metazoa,Cnidaria,Anthozoa,Aerobic_mitochondria,None
Puccinia striiformis,27350,Opisthokonta_Fungi,Basidiomycota,Pucciniomycetes,Aerobic_mitochondria,None 
Odocoileus hemionus hemionus,9877,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Hydra sinensis,570418,Opisthokonta_Metazoa,Cnidaria,Hydrozoa,Aerobic_mitochondria,None
Dipelta yunnanensis,180069,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Anguis fragilis,102178,Opisthokonta_Metazoa,Chordata,Lepidosauria,Aerobic_mitochondria,None
Lytta caraganae,1850555,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Cordyceps militaris,73501,Opisthokonta_Fungi,Ascomycota,Sordariomycetes,Aerobic_mitochondria,None 
Eriachne axillaris,2546639,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Scomberomorus cavalla,13679,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Daphnia similis,35528,Opisthokonta_Metazoa,Arthropoda,Branchiopoda,Aerobic_mitochondria,None
Pirottaea palmicola,1603990,Opisthokonta_Fungi,Ascomycota,Leotiomycetes,Aerobic_mitochondria,None 
Phytophthora citricola,53984,SAR_Stramenopiles,Stramenopiles,Oomycota,Aerobic_mitochondria,None
Ostryopsis nobilis,176868,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Pandion haliaetus,56262,Opisthokonta_Metazoa,Chordata,Aves,Aerobic_mitochondria,None
Proechimys poliopus,2033320,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Chionanthus thorelii,1489476,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Lamprotula tortuosa,332607,Opisthokonta_Metazoa,Mollusca,Bivalvia,Aerobic_mitochondria,None
Gorsachius goisagi,1215352,Opisthokonta_Metazoa,Chordata,Aves,Aerobic_mitochondria,None
Crepidotus sp. BD-2015,1617101,Opisthokonta_Fungi,Basidiomycota,Agaricomycetes,Aerobic_mitochondria,None 
Toxodera hauseri,2033311,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Candida tropicalis CBS 94,559300,Opisthokonta_Fungi,Ascomycota,Saccharomycetes,Aerobic_mitochondria,None 
Paratilapia polleni,80772,Opisthokonta_Metazoa,Chordata,Actinopteri,None,None
Zabelia dielsii,1112105,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Sus scrofa,9823,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Pachysolen tannophilus NRRL Y-2460,669874,Opisthokonta_Fungi,Ascomycota,Saccharomycetes,Aerobic_mitochondria,None 
Nurudea yanoniella,509176,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Photinia lanuginosa,2675833,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Turdus hortulorum,411519,Opisthokonta_Metazoa,Chordata,Aves,Aerobic_mitochondria,None
Cunninghamella bertholletiae B7461,1357680,Opisthokonta_Fungi,Mucoromycota,Mucoromycetes,Aerobic_mitochondria,None 
Phytophthora lateralis MPF6,1249587,SAR_Stramenopiles,Stramenopiles,Oomycota,Undescribed,None
Saccharomyces cerevisiae YJM1444,1294374,Opisthokonta_Fungi,Ascomycota,Saccharomycetes,Aerobic_mitochondria,None 
Pinctada margaritifera,102329,Opisthokonta_Metazoa,Mollusca,Bivalvia,Aerobic_mitochondria,None
Ziziphus mauritiana,157914,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Drosophila triauraria,67534,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Ceratosolen solmsi marchali,326594,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Rhizopogon rudus,181343,Opisthokonta_Fungi,Basidiomycota,Agaricomycetes,Aerobic_mitochondria,None 
Helix aspersa,6535,Opisthokonta_Metazoa,Mollusca,Gastropoda,Aerobic_mitochondria,None
Leucophlebia lineata,1087496,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Sargassum horneri,74089,SAR_Stramenopiles,Stramenopiles,Phaeophyceae,Aerobic_mitochondria,Secondary_red_plastid
Micromonas commoda,296587,Archaeplastida_Viridiplantae,Chlorophyta,Mamiellophyceae,Aerobic_mitochondria,Primary_green_plastid 
Magnolia sieboldii,85868,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Porphyridium sordidum,28024,Archaeplastida_Rhodophyta,Rhodophyta,Bangiophyceae,Aerobic_mitochondria,Primary_red_plastid
Penicillium decumbens,69771,Opisthokonta_Fungi,Ascomycota,Eurotiomycetes,Aerobic_mitochondria,None 
Abrornis proregulus,56435,Opisthokonta_Metazoa,Chordata,Aves,Aerobic_mitochondria,None
Dermacentor everestianus,1167514,Opisthokonta_Metazoa,Arthropoda,Arachnida,Aerobic_mitochondria,None
Cherax boesemani,1552318,Opisthokonta_Metazoa,Arthropoda,Malacostraca,Aerobic_mitochondria,None
Neonemura barrosi,1777198,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Macrophthalmus pacificus,220126,Opisthokonta_Metazoa,Arthropoda,Malacostraca,Aerobic_mitochondria,None
Atkinsonella hypoxylon,47741,Opisthokonta_Fungi,Ascomycota,Sordariomycetes,Aerobic_mitochondria,None 
Polygonatum sibiricum,261423,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Lathraea squamaria,374711,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Tilia oliveri,1522119,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Sibylla pretiosa,444763,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
