#Organism_name,taxonomy_ID,Supergroup_group,Phylum,Class,Mitochondria_type,Plastid_type
Ilex cornuta,146505,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Solanum usambarense,1879258,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Hylobates moloch,81572,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Colletotrichum tanaceti,1306861,Opisthokonta_Fungi,Ascomycota,Sordariomycetes,Aerobic_mitochondria,None 
Lepilemur aeeclis,342399,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Biscutella lyrata,1906385,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Pelargonium australe,59866,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Pethia conchonius,27708,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Oryza glaberrima,4538,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Eusthenes cupreus,1392985,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Helianthus giganteus,73288,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Tilletia laevis,157183,Opisthokonta_Fungi,Basidiomycota,Exobasidiomycetes,Aerobic_mitochondria,None 
Mantella madagascariensis,111290,Opisthokonta_Metazoa,Chordata,Amphibia,Aerobic_mitochondria,None
Ptychobarbus kaznakovi,263525,Opisthokonta_Metazoa,Chordata,Actinopteri,Anaerobic_mitochondria,None
Scombrops gilberti,433668,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Liza carinata,698365,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Orobanche densiflora,223104,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Anaerobic_mitochondria,Primary_green_plastid 
Stegnosperma cubense,427824,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Cryptococcus neoformans var. grubii MW-RSA852,1230069,Opisthokonta_Fungi,Basidiomycota,Tremellomycetes,Aerobic_mitochondria,None 
Rhodomyrtus tomentosa,98583,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Sebdenia flabellata,42024,Archaeplastida_Rhodophyta,Rhodophyta,Florideophyceae,Aerobic_mitochondria,Primary_red_plastid
Albugo candida,65357,SAR_Stramenopiles,Stramenopiles,Oomycota,Aerobic_mitochondria,None
Coelastrella sp. M60,1489057,Archaeplastida_Viridiplantae,Chlorophyta,Chlorophyceae,Aerobic_mitochondria,Primary_green_plastid 
Penicillium antarcticum,416450,Opisthokonta_Fungi,Ascomycota,Eurotiomycetes,Aerobic_mitochondria,None 
Acipenser schrenckii,111304,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
